Name	AppID	Genre	Tags	Votes_total	Positive_rating	Played_time (h)	Time_to_finish (h)	Time_to_complete (h)	100%_Completed	Developer	Publisher	Release_date	Removed_game	Minimum_requirements	Recommended_requirements
MONSTER HUNTER RISE	1446780	Action	Action, RPG, Online Co-Op, Hunting, Multiplayer, Character Customization, Co-op, Action RPG, JRPG, Third Person, Singleplayer, PvE, Anime, Fantasy, Nature, 3D, Dragons, Atmospheric, Ninja, Souls-like	65620	86.7	355	21	148	X	CAPCOM Co., Ltd.	CAPCOM Co., Ltd.	12-Jan-2022	NA	Requires a 64-bit processor and operating systemOS: Windows 10 （64-bit）Processor: Intel® Core™ i3-4130 or Core™ i5-3470 or AMD FX™-6100Memory: 8 GB RAMGraphics: NVIDIA® GeForce® GT 1030 (DDR4) or AMD Radeon™ RX 550DirectX: Version 12Network: Broadband Internet connectionStorage: 36 GB available spaceAdditional Notes: 1080p\/30fps when graphics settings are set to &quot;Low&quot;. System requirements subject to change during game development. 	Requires a 64-bit processor and operating systemOS: Windows 10 （64-bit）Processor: Intel® Core™ i5-4460 or AMD FX™-8300Memory: 8 GB RAMGraphics: NVIDIA® GeForce® GTX 1060 (VRAM 3GB) or AMD Radeon™ RX 570 (VRAM 4GB)DirectX: Version 12Network: Broadband Internet connectionStorage: 36 GB available spaceAdditional Notes: 1080p\/30fps when graphics settings are set to &quot;Average&quot;. System requirements subject to change during game development.
Grand Theft Auto V	271590	Action, Adventure	Open World, Action, Multiplayer, Crime, Automobile Sim, Third Person, First-Person, Shooter, Mature, Adventure, Singleplayer, Third-Person Shooter, Racing, Co-op, Atmospheric, Sandbox, Funny, Great Soundtrack, Comedy, Moddable	1490561	85.5	139	32	81	NA	Rockstar North	Rockstar Games	13-Apr-2015	NA	Requires a 64-bit processor and operating systemOS: Windows 10 64 Bit, Windows 8.1 64 Bit, Windows 8 64 Bit, Windows 7 64 Bit Service Pack 1Processor: Intel Core 2 Quad CPU Q6600 @ 2.40GHz (4 CPUs) \/ AMD Phenom 9850 Quad-Core Processor (4 CPUs) @ 2.5GHzMemory: 4 GB RAMGraphics: NVIDIA 9800 GT 1GB \/ AMD HD 4870 1GB (DX 10, 10.1, 11)Storage: 72 GB available spaceSound Card: 100% DirectX 10 compatibleAdditional Notes: Over time downloadable content and programming changes will change the system requirements for this game.  Please refer to your hardware manufacturer and www.rockstargames.com\/support for current compatibility information. Some system components such as mobile chipsets, integrated, and AGP graphics cards may be incompatible. Unlisted specifications may not be supported by publisher.     Other requirements:  Installation and online play requires log-in to Rockstar Games Social Club (13+) network; internet connection required for activation, online play, and periodic entitlement verification; software installations required including Rockstar Games Social Club platform, DirectX , Chromium, and Microsoft Visual C++ 2008 sp1 Redistributable Package, and authentication software that recognizes certain hardware attributes for entitlement, digital rights management, system, and other support purposes.     SINGLE USE SERIAL CODE REGISTRATION VIA INTERNET REQUIRED; REGISTRATION IS LIMITED TO ONE ROCKSTAR GAMES SOCIAL CLUB ACCOUNT (13+) PER SERIAL CODE; ONLY ONE PC LOG-IN ALLOWED PER SOCIAL CLUB ACCOUNT AT ANY TIME; SERIAL CODE(S) ARE NON-TRANSFERABLE ONCE USED; SOCIAL CLUB ACCOUNTS ARE NON-TRANSFERABLE.  Partner Requirements:  Please check the terms of service of this site before purchasing this software. 	Requires a 64-bit processor and operating systemOS: Windows 10 64 Bit, Windows 8.1 64 Bit, Windows 8 64 Bit, Windows 7 64 Bit Service Pack 1Processor: Intel Core i5 3470 @ 3.2GHz (4 CPUs) \/ AMD X8 FX-8350 @ 4GHz (8 CPUs)Memory: 8 GB RAMGraphics: NVIDIA GTX 660 2GB \/ AMD HD 7870 2GBStorage: 72 GB available spaceSound Card: 100% DirectX 10 compatible
Monster Hunter Stories 2: Wings of Ruin	1277400	Adventure, RPG	RPG, Adventure, JRPG, Exploration, 3D, Cartoony, Dragons, Third Person, Fantasy, Loot, PvE, Character Customization, Emotional, Creature Collector, Turn-Based, PvP, Story Rich, Multiplayer, Hunting, Online Co-Op	13929	82.2	137	40	143	X	CAPCOM Co., Ltd.	CAPCOM Co., Ltd.	08-Jul-2021	NA	Requires a 64-bit processor and operating systemOS: WINDOWS® 10 (64-BIT Required)Processor: Intel® Core™ i5-3470 3.20 GHz or AMD FX-6300™ or betterMemory: 4 GB RAMGraphics: NVIDIA®GeForce® GTX 960 \/ 2GB VRAM or AMD Radeon RX 560 \/ 2GB VRAMDirectX: Version 11Network: Broadband Internet connectionStorage: 28 GB available spaceSound Card: DirectSound compatible (must support DirectX® 9.0c or higher)Additional Notes: This game is expected to run at 1080p\/30 FPS. If you don't have enough performance to run the game at your selected graphic quality, you must go to Options &gt; Graphics and decrease the resolution or adjust the quality setting. An internet connection is required for product activation. (Network connectivity uses Steam® developed by Valve® Corporation.) 	Requires a 64-bit processor and operating systemOS: WINDOWS® 10 (64-BIT Required)Processor: Intel® Core™ i5-4460 3.20 GHz or AMD FX-8300™ or betterMemory: 8 GB RAMGraphics: NVIDIA®GeForce® GTX 960 \/ 2GB VRAM or AMD Radeon RX 560 \/ 2GB VRAMDirectX: Version 11Network: Broadband Internet connectionStorage: 28 GB available spaceSound Card: DirectSound compatible (must support DirectX® 9.0c or higher)Additional Notes: This game is expected to run at 1080p\/30 FPS. An internet connection is required for product activation. (Network connectivity uses Steam® developed by Valve® Corporation.)
ELDEN RING	1245620	Action, RPG	Souls-like, Dark Fantasy, RPG, Open World, Difficult, Action RPG, Third Person, Fantasy, Multiplayer, Singleplayer, Online Co-Op, Action, PvP, Co-op, Violent, Atmospheric, Great Soundtrack, 3D, Character Customization, Family Friendly	633055	91.5	122	55	133	X	FromSoftware Inc.	FromSoftware Inc., Bandai Namco Entertainment	24-Feb-2022	NA	Requires a 64-bit processor and operating systemOS: Windows 10Processor: INTEL CORE I5-8400 or AMD RYZEN 3 3300XMemory: 12 GB RAMGraphics: NVIDIA GEFORCE GTX 1060 3 GB or AMD RADEON RX 580 4 GBDirectX: Version 12Storage: 60 GB available spaceSound Card: Windows Compatible Audio DeviceAdditional Notes:  	Requires a 64-bit processor and operating systemOS: Windows 10\/11Processor: INTEL CORE I7-8700K or AMD RYZEN 5 3600XMemory: 16 GB RAMGraphics: NVIDIA GEFORCE GTX 1070 8 GB or AMD RADEON RX VEGA 56 8 GBDirectX: Version 12Storage: 60 GB available spaceSound Card: Windows Compatible Audio DeviceAdditional Notes: 
Monster Hunter: World	582010	Action	Co-op, Multiplayer, Action, Open World, RPG, Third Person, Character Customization, Adventure, Fantasy, Difficult, Singleplayer, Action RPG, Exploration, Great Soundtrack, Replay Value, Atmospheric, Hack and Slash, JRPG, Souls-like, MMORPG	373293	86	110	48	396	NA	CAPCOM Co., Ltd.	CAPCOM Co., Ltd.	09-Aug-2018	NA	Requires a 64-bit processor and operating systemOS: WINDOWS® 7, 8, 8.1, 10 (64-bit required)Processor: Intel® Core™ i5 4460 or Core™ i3 9100F or AMD FX™-6300 or Ryzen™ 3 3200GMemory: 8 GB RAMGraphics: NVIDIA®GeForce®GTX 760 or GTX1050 or AMD Radeon™ R7 260x or RX 560DirectX: Version 11Network: Broadband Internet connectionStorage: 52 GB available spaceSound Card: DirectSound (DirectX® 9.0c or later)Additional Notes: - These specs allow for the game to be played in 1080p\/30fps with graphics settings at &quot;Low&quot;. - 64-bit processor and operating system are required. 	Requires a 64-bit processor and operating systemOS: WINDOWS® 7, 8, 8.1, 10 (64-bit required)Processor: Intel® Core™ i7 3770 or Core™ i3 8350 or Core™ i3 9350F \/ AMD Ryzen™ 5 1500X or Ryzen™ 5 3400GMemory: 8 GB RAMGraphics: NVIDIA® GeForce® GTX 1060 (VRAM 3GB) or GTX 1650 \/ AMD Radeon™ RX 480 or RX 570DirectX: Version 11Network: Broadband Internet connectionStorage: 52 GB available spaceSound Card: DirectSound (DirectX® 9.0c or later)Additional Notes: - These specs allow for the game to be played in 1080p\/30fps with graphics settings at &quot;High&quot;. - 64-bit processor and operating system are required. - Windows 10 (Version 1809 or later) and a 4GB VRAM GPU (graphics board or video card) are required for DirectX 12 API.
PAYDAY 2	218620	Action, RPG	Co-op, Action, FPS, Heist, Looter Shooter, Multiplayer, Online Co-Op, Stealth, Crime, Shooter, Team-Based, First-Person, Great Soundtrack, Gun Customization, Tactical, PvE, Strategy, Singleplayer, Funny, Simulation	610805	89.6	96	25	465	NA	OVERKILL - a Starbreeze Studio.	Starbreeze Publishing AB	13-Aug-2013	NA	OS: Windows 7Processor: 2 GHz Intel Dual Core ProcessorMemory: 4 GB RAMGraphics: Nvidia &amp; AMD (512MB VRAM)DirectX: Version 9.0cStorage: 83 GB available spaceVR Support: SteamVR. Standing or Room Scale 	OS: Windows 10Processor: 2.3 GHz Intel Quad Core ProcessorMemory: 8 GB RAMGraphics: Nvidia &amp; AMD (1GB VRAM)DirectX: Version 9.0cStorage: 83 GB available spaceVR Support: SteamVR. Standing or Room Scale
Spyro™ Reignited Trilogy	996580	Action, Adventure	Adventure, 3D Platformer, Remake, Dragons, Action, Family Friendly, Classic, Singleplayer, Cute, Platformer, Colorful, Fantasy, Cult Classic, Great Soundtrack, Casual, Collectathon, Cartoony, Third Person, Atmospheric, Funny	16401	94.8	51	17	33	X	Toys for Bob, Iron Galaxy	Activision	03-Sep-2019	NA	Requires a 64-bit processor and operating systemOS: Windows 7Processor: Intel Core i3-2100 | AMD FX-6300Memory: 4 GB RAMGraphics: NVIDIA GeForce GTX 660 (2 GB) | AMD Radeon HD 7850 (2 GB)DirectX: Version 9.0Storage: 40 GB available spaceSound Card: DirectX Compatible 	Requires a 64-bit processor and operating systemOS: Windows 7Processor: Intel Core i5-2500K | AMD FX-8350Memory: 8 GB RAMGraphics: NVIDIA GeForce GTX 960 (2 GB) | AMD Radeon RX 480DirectX: Version 9.0Storage: 40 GB available spaceSound Card: DirectX Compatible
Yu-Gi-Oh! Legacy of the Duelist	480650	Simulation	Card Game, Card Battler, Deckbuilding, Anime, Simulation, Trading Card Game, Multiplayer, Strategy, Singleplayer, Fantasy, Action, Casual, Turn-Based	4357	84.6	50	17	65	X	Other Ocean Interactive	Konami Digital Entertainment, Inc.	07-Dec-2016	NA	Requires a 64-bit processor and operating systemOS: Windows 7x64, Windows 8x64 (64-bit OS Required)Processor: 2.5GHz CPUMemory: 2 GB RAMGraphics: 512MB DirectX 11.0 compatible video cardDirectX: Version 11Storage: 2 GB available spaceSound Card: DirectX 11.0 compatible sound card 	Requires a 64-bit processor and operating systemOS: Windows 8x64 (64-bit OS Required)Processor: 3GHz CPUMemory: 4 GB RAMGraphics: 1GB DirectX 11.0 compatible video cardDirectX: Version 11Network: Broadband Internet connectionStorage: 2 GB available spaceSound Card: DirectX 11.0 compatible sound card
Road Redemption	300380	Action, Adventure, Indie, Racing, Simulation	Racing, Action, Motorbike, Indie, Multiplayer, Local Co-Op, Simulation, Adventure, Violent, Arcade, 4 Player Local, Singleplayer, Local Multiplayer, Gore, Third Person, Funny, Rogue-like, Rogue-lite, Sports, Shooter	10746	82	43	6	26	X	EQ-Games , Pixel Dash Studios	Tripwire Presents	04-Oct-2017	NA	Requires a 64-bit processor and operating systemOS: Windows XP, VistaProcessor: 1.4GHz processor or fasterMemory: 8 GB RAMGraphics: DirectX 9-compatible graphics card with at least 1.5GB of video memoryDirectX: Version 9.0Storage: 1000 MB available space 	Requires a 64-bit processor and operating systemOS: Windows 7, 8, 10Processor: 2GHz processor or fasterMemory: 8 GB RAMGraphics: DirectX 9-compatible graphics card with at least 2GB of video memoryDirectX: Version 9.0Storage: 2500 MB available space
Fable Anniversary	288470	RPG	RPG, Open World, Fantasy, Adventure, Classic, Singleplayer, Remake, Action RPG, Atmospheric, Choices Matter, Third Person, Story Rich, Character Customization, Comedy, Action, Great Soundtrack, Medieval, Magic, Sandbox, Funny	11628	84.8	39	13	32	X	Lionhead Studios	Xbox Game Studios	12-Sep-2014	NA	OS: Windows 7\/8Processor: Intel 2GHz Core2 Duo \/ AMD Athlon 64 x2 2.4GHzMemory: 3 GB RAMGraphics: Radeon X1800\/ Nvidia GeForce 7600GTDirectX: Version 9.0Storage: 10 GB available space 	OS: Windows 7\/8 64bitProcessor: Intel Core2 Quad 2.33GHzMemory: 4 GB RAMGraphics: Nvidia GeForce GTX 260DirectX: Version 9.0Storage: 10 GB available space
